DATE,averageEarnings,manufacturingWorkers,urbanCPI,rentCPI,employmentRatio,civilianEmployment,nonfarmPayroll,producerPrice,retailSales,freightIndex,gdp
1/1/1948,,14402,23.7,27,56.6,56339,44224,,,,6.2
2/1/1948,,14344,23.5,27.1,56.7,56440,43956,,,,6.2
3/1/1948,,14373,23.4,27.1,56.1,56601,44291,,,,6.2
4/1/1948,,14082,23.8,27.2,56.7,57471,44082,,,,6.8
5/1/1948,,14019,23.9,27.3,56.2,57763,44471,,,,6.8
6/1/1948,,14173,24.1,27.4,57,59724,44951,,,,6.8
7/1/1948,,14230,24.4,27.5,57.1,59955,44989,,,,2.3
8/1/1948,,14463,24.5,27.6,56.6,59677,45338,,,,2.3
9/1/1948,,14667,24.5,27.8,56.6,59337,45796,,,,2.3
10/1/1948,,14543,24.4,27.9,56.5,59290,45693,,,,0.4
11/1/1948,,14388,24.2,28,56.5,58991,45588,,,,0.4
12/1/1948,,14203,24.1,28.1,56.8,58554,46074,,,,0.4
1/1/1949,,13833,24,28.2,56.2,56486,44159,,,,-5.4
2/1/1949,,13715,23.8,28.3,56.2,56320,43821,,,,-5.4
3/1/1949,,13554,23.8,28.4,56,56809,43747,,,,-5.4
4/1/1949,,13293,23.9,28.5,55.7,56929,43881,,,,-1.4
5/1/1949,,13034,23.8,28.6,55.4,57669,43636,,,,-1.4
6/1/1949,,13038,23.9,28.6,55,58231,43668,,,,-1.4
7/1/1949,,12932,23.7,28.7,55,58171,43352,,,,4.2
8/1/1949,,13282,23.8,28.8,55.1,58504,43823,,,,4.2
9/1/1949,,13467,23.9,28.9,55.3,58324,44335,,,,4.2
10/1/1949,,13070,23.7,29,54.9,58050,43447,,,,-3.3
11/1/1949,,12977,23.8,29.1,55.6,58616,43653,,,,-3.3
12/1/1949,,13174,23.6,29.2,55.3,57712,44596,,,,-3.3
1/1/1950,,13122,23.5,29.4,55.1,56189,42976,,,,16.7
2/1/1950,,13138,23.5,29.4,55.1,56197,42573,,,,16.7
3/1/1950,,13248,23.6,29.5,55.1,56733,43410,,,,16.7
4/1/1950,,13315,23.6,29.5,55.8,57812,44011,,,,12.8
5/1/1950,,13558,23.7,29.7,55.8,58719,44377,,,,12.8
6/1/1950,,13811,23.8,29.7,56.2,59997,45044,,,,12.8
7/1/1950,,13932,24.1,29.8,56.1,59839,45272,,,,16.4
8/1/1950,,14587,24.3,29.9,56.8,60948,46401,,,,16.4
9/1/1950,,14804,24.4,29.9,56.6,60245,47005,,,,16.4
10/1/1950,,14928,24.6,30,56.9,60708,47239,,,,7.9
11/1/1950,,14852,24.7,30.1,56.9,60313,47207,,,,7.9
12/1/1950,,14864,25,30.2,56.7,59352,47931,,,,7.9
1/1/1951,,14889,25.4,30.2,56.9,58166,46686,,,,5.5
2/1/1951,,15047,25.7,30.4,57,58102,46833,,,,5.5
3/1/1951,,15085,25.8,30.6,57.7,59366,47312,,,,5.5
4/1/1951,,15032,25.8,30.7,57.3,59206,47505,,,,7.1
5/1/1951,,14960,25.9,30.8,57.6,60219,47624,,,,7.1
6/1/1951,,15088,25.9,30.8,57.1,60373,48059,,,,7.1
7/1/1951,,14973,25.9,30.9,57.6,60968,47888,,,,8.5
8/1/1951,,15184,25.9,31,57.4,61128,48195,,,,8.5
9/1/1951,,15223,26.1,31.2,57.1,60408,48486,,,,8.5
10/1/1951,,15153,26.2,31.4,57.3,60906,48550,,,,0.9
11/1/1951,,15089,26.4,31.5,57.1,60464,48621,,,,0.9
12/1/1951,,15111,26.5,31.6,57.7,60252,49397,,,,0.9
1/1/1952,,14989,26.5,31.7,57.7,58884,47659,,,,4.3
2/1/1952,,15069,26.3,31.9,57.7,58834,47765,,,,4.3
3/1/1952,,15090,26.3,31.9,57.1,58912,47931,,,,4.3
4/1/1952,,15049,26.4,31.9,57.1,59232,48268,,,,0.9
5/1/1952,,14953,26.4,32.1,57.3,60250,48319,,,,0.9
6/1/1952,,14754,26.5,32.1,57.3,60988,48305,,,,0.9
7/1/1952,,14569,26.7,32.2,57,60775,47977,,,,2.9
8/1/1952,,15391,26.7,32.3,56.8,60872,49077,,,,2.9
9/1/1952,,15769,26.7,32.3,57.4,61162,49829,,,,2.9
